tag_id,stap_id,start,end,known_lat,known_lon,include
5CF,39,2022-05-19T21:30:00Z,2022-05-20T13:30:00Z,,,TRUE
5CF,40,2022-05-20T21:30:00Z,2022-05-21T13:30:00Z,,,TRUE
5CF,41,2022-05-21T20:30:00Z,2022-05-22T14:30:00Z,,,TRUE
5CF,42,2022-05-22T20:30:00Z,2022-05-23T14:30:00Z,,,TRUE
5CF,43,2022-05-23T20:30:00Z,2022-05-24T15:30:00Z,,,TRUE
5CF,44,2022-05-24T20:30:00Z,2022-05-25T15:30:00Z,,,TRUE
5CF,45,2022-05-25T20:30:00Z,2022-05-26T15:30:00Z,,,TRUE
5CF,46,2022-05-26T21:30:00Z,2022-05-27T16:30:00Z,,,TRUE
5CF,47,2022-05-27T19:30:00Z,2022-05-28T16:30:00Z,,,TRUE
5CF,48,2022-05-28T18:30:00Z,2022-06-01T23:30:00Z,62.28616,88.97598,TRUE
5D6,1,2021-08-15T01:00:00Z,2021-10-18T13:30:00Z,37.04525798,101.722533,TRUE
5D6,2,2021-10-18T18:30:00Z,2021-10-24T13:30:00Z,,,TRUE
5D6,3,2021-10-24T23:30:00Z,2021-10-26T13:30:00Z,,,TRUE
5D6,4,2021-10-26T22:30:00Z,2021-10-27T16:30:00Z,,,TRUE
5D6,5,2021-10-27T20:30:00Z,2021-10-28T16:30:00Z,,,TRUE
5D6,6,2021-10-28T19:30:00Z,2021-10-29T17:30:00Z,,,TRUE
5D6,7,2021-10-29T20:30:00Z,2021-11-07T12:30:00Z,,,TRUE
5D6,8,2021-11-07T23:30:00Z,2021-11-09T12:30:00Z,,,TRUE
5D6,9,2021-11-09T23:30:00Z,2021-11-21T13:30:00Z,,,TRUE
5D6,10,2021-11-21T22:30:00Z,2021-11-22T19:30:00Z,,,FALSE
5D6,11,2021-11-22T23:30:00Z,2021-12-04T18:30:00Z,,,FALSE
5D6,12,2021-12-04T20:30:00Z,2022-04-04T13:30:00Z,,,TRUE
5D6,13,2022-04-04T22:30:00Z,2022-04-05T12:30:00Z,,,TRUE
5D6,14,2022-04-05T19:30:00Z,2022-04-06T13:30:00Z,,,TRUE
5D6,15,2022-04-06T17:30:00Z,2022-04-08T14:30:00Z,,,TRUE
5D6,16,2022-04-08T22:30:00Z,2022-04-10T15:30:00Z,,,TRUE
